0	0.000000	0.000000	0.004387
0.05	0.0708945	0.00813726823507625	-0.230604330521814
0.1	0.141789	0.03222321355741	-0.445540063093964
0.15	0.2126835	0.0708360043781588	-0.640420197716448
0.2	0.283578	0.12255380910848	-0.815244734389269
0.25	0.3544725	0.185954796159531	-0.970013673112424
0.3	0.425367	0.25961713394247	-1.10472701388592
0.35	0.4962615	0.342118990868454	-1.21938475670974
0.4	0.567156	0.43203853534864	-1.3139869015839
0.45	0.6380505	0.527953935794186	-1.3885334485084
0.5	0.708945	0.62844336061625	-1.44302439748323
0.55	0.7798395	0.732084978225989	-1.4774597485084
0.6	0.850734	0.83745695703456	-1.4918395015839
0.65	0.9216285	0.943137465453122	-1.48616365670974
0.7	0.992523	1.04770467189283	-1.46043221388592
0.75	1.0634175	1.14973674476484	-1.41464517311242
0.8	1.134312	1.24781185248032	-1.34880253438927
0.85	1.2052065	1.34050816345042	-1.26290429771645
0.9	1.276101	1.42640384608629	-1.15695046309396
0.95	1.3469955	1.5040770687991	-1.03094103052181
1	1.417890	1.572106	-0.884876
1.05	1.488581	1.63267622695295	-0.829107337125058
1.1	1.559272	1.68937233789502	-0.775268949289584
1.15	1.629963	1.74233078589902	-0.723360836493578
1.2	1.700654	1.79168802403776	-0.673382998737039
1.25	1.771345	1.83758050538406	-0.625335436019967
1.3	1.842036	1.88014468301074	-0.579218148342363
1.35	1.912727	1.91951700999061	-0.535031135704227
1.4	1.983418	1.95583393939648	-0.492774398105558
1.45	2.054109	1.98923192430117	-0.452447935546356
1.5	2.1248	2.0198474177775	-0.414051748026623
1.55	2.195491	2.04781687289828	-0.377585835546356
1.6	2.266182	2.07327674273632	-0.343050198105558
1.65	2.336873	2.09636348036444	-0.310444835704227
1.7	2.407564	2.11721353885546	-0.279769748342363
1.75	2.478255	2.13596337128219	-0.251024936019967
1.8	2.548946	2.15274943071744	-0.224210398737039
1.85	2.619637	2.16770817023403	-0.199326136493578
1.9	2.690328	2.18097604290478	-0.176372149289584
1.95	2.761019	2.1926895018025	-0.155348437125058
2	2.831710	2.202985	-0.136255
2.05	2.90226285	2.2121989680812	-0.125061763661039
2.1	2.9728157	2.22064934023796	-0.114608931147232
2.15	3.04336855	2.22838835407032	-0.104896502458579
2.2	3.1139214	2.23546824717827	-0.0959244775950794
2.25	3.18447425	2.24194125716184	-0.0876928565567337
2.3	3.2550271	2.24785962162105	-0.0802016393435417
2.35	3.32557995	2.2532755781559	-0.0734508259555035
2.4	3.3961328	2.25824136436642	-0.0674404163926191
2.45	3.46668565	2.26280921785261	-0.0621704106548885
2.5	3.5372385	2.2670313762145	-0.0576408087423116
2.55	3.60779135	2.2709600770521	-0.0538516106548885
2.6	3.6783442	2.27464755796542	-0.0508028163926191
2.65	3.74889705	2.27814605655449	-0.0484944259555035
2.7	3.8194499	2.28150781041931	-0.0469264393435417
2.75	3.89000275	2.28478505715991	-0.0460988565567337
2.8	3.9605556	2.28803003437629	-0.0460116775950794
2.85	4.03110845	2.29129497966847	-0.0466649024585789
2.9	4.1016613	2.29463213063648	-0.0480585311472322
2.95	4.17221415	2.29809372488031	-0.0501925636610392
3	4.242767	2.301732	-0.053067
3.05	4.313256	2.30518157249667	-0.044912473954234
3.1	4.383745	2.30807833104556	-0.0373818874922329
3.15	4.454234	2.31046625652399	-0.0304752406139966
3.2	4.524723	2.31238932980928	-0.0241925333195252
3.25	4.595212	2.31389153177875	-0.0185337656088185
3.3	4.665701	2.31501684330972	-0.0134989374818768
3.35	4.73619	2.31580924527951	-0.00908804893869984
3.4	4.806679	2.31631271856544	-0.00530109997928774
3.45	4.877168	2.31657124404483	-0.00213809060364048
3.5	4.947657	2.316628802595	0.000400979188241933
3.55	5.018146	2.31652937509327	0.00231610939635952
3.6	5.088635	2.31631694241696	0.00360730002071227
3.65	5.159124	2.31603548544339	0.00427455106130016
3.7	5.229613	2.31572898504988	0.00431786251812324
3.75	5.300102	2.31544142211375	0.00373723439118145
3.8	5.370591	2.31521677751232	0.00253266668047484
3.85	5.44108	2.31509903212291	0.000704159386003397
3.9	5.511569	2.31513216682284	-0.00174828749223289
3.95	5.582058	2.31536016248943	-0.00482467395423405
4	5.652547	2.315827	-0.008525
4.05	5.7231071	2.31632602479444	-0.00567935688614383
4.1	5.7936672	2.31663689448653	-0.00319181304743042
4.15	5.8642273	2.31678487659694	-0.00106236848385976
4.2	5.9347874	2.31679523864634	0.000708976804568144
4.25	6.0053475	2.31669324815538	0.00212222281785329
4.3	6.0759076	2.31650417264472	0.00317736955599569
4.35	6.1464677	2.31625327963505	0.00387441701899533
4.4	6.2170278	2.31596583664701	0.00421336520685221
4.45	6.2875879	2.31566711120127	0.00419421411956635
4.5	6.358148	2.3153823708185	0.00381696375713772
4.55	6.4287081	2.31513688301936	0.00308161411956634
4.6	6.4992682	2.31495591532451	0.00198816520685222
4.65	6.5698283	2.31486473525462	0.000536617018995328
4.7	6.6403884	2.31488861033036	-0.00127303044400431
4.75	6.7109485	2.31505280807237	-0.0034407771821467
4.8	6.7815086	2.31538259600134	-0.00596662319543186
4.85	6.8520687	2.31590324163793	-0.00885056848385975
4.9	6.9226288	2.31664001250279	-0.0120926130474304
4.95	6.9931889	2.31761817611659	-0.0156927568861438
5	7.063749	2.318863	-0.019651
5.05	7.1337239	2.32014824704373	-0.0171010399157412
5.1	7.2036988	2.32125873957686	-0.0146562229982465
5.15	7.2736737	2.32220183498195	-0.0123165492475158
5.2	7.3436486	2.3229848906416	-0.0100820186635493
5.25	7.4136235	2.32361526393837	-0.00795263124634684
