84	0.118
88	0.310
89	0.655
89	0.899
91	1.535
92	2.169
92	1.272
92	1.115
93	2.435
93	1.961
93	1.789
95	2.942
95	2.631
95	3.707
95	3.468
95	3.224
99	3.951
101	4.262
108	4.370
109	4.559
113	4.813
115	5.108
117	5.359
119	5.970
119	5.655
123	6.439
125	6.229
126	6.526
129	6.282
131	6.062
132	5.866
133	5.661
133	5.464
133	4.976
134	5.316
136	4.795
138	4.510
138	4.225
140	3.982
140	3.680
144	3.474
146	3.269
150	3.088
152	2.886
154	2.710
157	2.516
160	2.196
164	1.964
167	1.759
173	1.624
180	1.618
184	1.381
188	1.147
191	0.921
196	0.584
204	0.448
212	0.378
223	0.374
231	0.388
239	0.403
247	0.382
254	0.329
263	0.278
271	0.292
279	0.249
287	0.214
295	0.188
299	0.176
310	0.093
316	0.062
323	0.091
351	0.092
359	0.085
368	0.088
374	0.093
390	0.134
397	0.314
405	0.475
411	0.630
413	0.803
418	0.970
424	1.148
430	1.341
433	1.616
436	1.789
439	2.033
441	2.253
445	2.467
447	2.688
453	2.783
460	3.043
468	3.036
476	3.035
481	2.817
487	2.616
495	2.604
501	2.520
507	2.349
514	2.325
520	2.256
525	2.022
532	1.896
540	1.984
548	1.930
555	1.790
567	1.536
572	1.330
575	1.192
581	0.898
584	0.776
591	0.500
602	0.246
